graphId,agent_prompt,whatItDoesText,keyFeatures,forTeamsLike,example_queries,curatorURL,topics,geography,byTheNumbers
wef-women-s-health-investment-outlook,CRITICAL: Use this graph for identifying untapped investment opportunities and strategic growth areas within the women's health sector.,"This graph provides a comprehensive analysis of the women's health market, highlighting chronic underfunding and identifying specific, high-potential areas for investment. It maps capital flows from 2020-2025 to reveal where money is concentrated and, more importantly, where significant 'white space' and opportunity exist across conditions that affect women uniquely, differently, or disproportionately.","- Identifies six high-potential opportunity areas for investment, ranging from women's cancer therapeutics to remote maternal health monitoring and women-focused mental health platforms.
- Provides a 'Call to Action' with a framework for a multistakeholder approach, involving investors, industry, and policymakers to close the funding gap.
- Analyzes the concentration of capital, showing that 90% of investment is focused on just three areas: women's cancers, reproductive health, and maternal health.","- Venture Capital & Private Equity
- Corporate Strategy & M&A in Healthcare
- Medical Device & Pharma R&D
- Public Health & Policy Organizations
- Digital Health Startups","- What are the six prime areas for investment in women's health?
- Where is capital currently concentrated in the women's health sector?
- What are the main barriers to investment in women's health and how can they be overcome?
- Show me emerging opportunities in women-focused mental health platforms.
- What actions are needed to scale innovation in women's health?",https://www.weforum.org,"- Women's Health
- Healthcare Investment
- FemTech
- Market Opportunity Analysis
- Venture Capital",Global,"- 90% of investment capital in women's health flows into just three areas: women's cancers, reproductive health, and maternal health.
- Six key opportunity areas have been identified for future investment, reflecting a broad spectrum of market maturity and funding potential.
- The analysis covers investment trends and activity across all identified companies active in women's health between 2020 and 2025."
worldbank_global,"CRITICAL: Use this graph for answering questions about global economic trends, country-level economic indicators, and comparative economic analysis. It contains data on GDP, inflation, trade, population, and internet penetration for 189 countries.","This knowledge graph provides a comprehensive dataset of key economic indicators from the World Bank, covering 189 countries. It enables users to perform global analysis, compare economic performance between nations, and track trends over time in areas like economic growth (GDP), inflation, international trade, population dynamics, and digital adoption (internet penetration).","- Tracks GDP and GDP growth for 189 countries.
- Monitors inflation rates and their trends.
- Provides data on international trade balances and volumes.
- Includes population metrics and demographic data.
- Measures internet penetration as an indicator of digital development.","- economic Research
- Financial Analysis
- Market Research
- Policy Making & Governance
- International business","- What is the GDP of France in the latest available year?
- Compare the inflation rates of Brazil and Argentina over the last decade.
- Which country has the highest internet penetration?
- Show me the population trend for India since 2000.
- What is the trade balance for Germany?",https://www.worldbank.org,"- Economics
- Demographics
- International Trade
- technology
- finance",Global (189 countries),"- Economic data for 189 countries
- Covers key indicators like GDP, inflation, and trade
- Includes population and internet penetration statistics"
seatrade-cruise-retail-trends,"CRITICAL: Use this graph for in-depth analysis of the cruise retail sector. It provides critical insights into emerging trends, operational challenges, and future market directions, ideal for strategic planning and competitive analysis in the travel retail industry.","This graph offers a specialized view into the world of cruise ship retail, analyzing the key trends and challenges that are shaping its future. It delves into evolving consumer behaviors, the impact of technology, and the strategic responses of cruise lines and their retail partners to a changing market landscape.","- Analysis of emerging retail trends on cruise ships
- Identification of key challenges facing the cruise retail sector
- Insights into changing passenger demographics and purchasing habits
- Exploration of technology's role in the future of onboard shopping","- cruise Line Retail Buyers and planners
- Travel Retail Suppliers and brands
- Onboard Retail management
- Market Research and Strategy teams in the Travel & tourism sector","- What are the most significant trends shaping cruise retail in 2024?
- How are luxury brands adapting their strategies for the cruise market?
- What are the primary challenges to profitability in cruise retail?
- How is sustainability influencing passenger purchasing decisions on board?",,"- cruise industry
- Travel Retail
- Consumer trends
- Onboard Experience
- Luxury Goods",Global,"- Projected annual growth rate of the global cruise retail market.
- Average retail spending per passenger on a 7-day cruise.
- Percentage of cruise revenue generated from onboard retail.
- Market share of luxury goods in the overall cruise retail space."
world-economic-forum-youth-pulse,"CRITICAL: Use this graph for understanding the priorities, values, and aspirations of the next generation of leaders, consumers, and citizens. It provides key insights into their perspectives on climate, career, technology, and governance.","This graph analyzes the priorities and perceptions of over 4,600 young people globally, offering insights into their aspirations, primary concerns like climate change and economic stability, and their views on leadership and civic engagement.","- Tracks youth sentiment on economic pressures, highlighting inflation and employment as top concerns.
- Reveals a strong preference for Local, accountable leadership over national figures.
- Highlights the dual focus on personal Financial stress and global climate change as defining threats.
- Shows a generation ready to lead, with a high interest in political participation and civic action.","- Policy & Governance Units
- Corporate Strategy & ESG teams
- Marketing & Consumer Insights
- Product Development & Innovation
- Human Resources & Talent Acquisition","- What are the top Policy priorities for Young People today?
- How are Young People using AI for personal and Professional development?
- What are the primary drivers of youth consumption habits?
- What leadership qualities do Young People value most?
- How does trust in leadership vary between Local and national levels for youth?",,"- youth Culture
- Politics & Governance
- Economics & employment
- climate & Sustainability
- technology & AI",Global,"- 57% of young people call for the creation of quality jobs and entrepreneurial opportunities.
- Nearly 60% of youth report using AI regularly to enhance their skills.
- More than one in three young people say they are likely to run for political office.
- 46% of respondents cite equal access to affordable, quality education as a key policy priority.
- 50% of young people view inflation and economic instability as the greatest threats to their lives."
generative-realities,"CRITICAL: Use this graph for understanding the complex interplay between advancing generative technologies and evolving cultural dynamics. Access it to uncover insights on how AI is reshaping communication, entertainment, and human connection, as well as the counter-trends and nostalgic movements emerging in response.","This graph provides a strategic overview of the convergence between generative technology and culture. It identifies key trends driven by AI, such as the rise of virtual influencers and AI companionship, while also highlighting the societal counter-reactions, including a resurgence in analog hobbies, localism, and nostalgia for a pre-internet world. It's designed to help strategists and marketers navigate the tensions and opportunities arising from this technological shift.","- Tracks the rise of AI-driven content and influencers.
- Identifies the counter-trend of 'slow content' and analog revival.
- Explores the use of AI for personal connection and therapy.
- Highlights the cultural pull of nostalgia and localism in a digital world.","- Brand Strategy
- Marketing and Advertising
- Innovation and Product Development
- cultural Insights and trend Forecasting","- What are the latest trends in AI-generated content and virtual influencers?
- How are consumers reacting to the increase in AI in their daily lives?
- What is the 'Neo-Luddite' trend and how does it impact brands?
- How is nostalgia influencing consumer behavior in the age of AI?",https://www.dentsucreative.com,"- Generative AI
- cultural trends
- Consumer Behavior
- Digital Culture
- Marketing and media","Global, with specific data points from the UK.","- Features 12 key trends at the intersection of technology and culture.
- 47% of 16 to 21-year-old Brits would prefer to grow up in a pre-internet era."
publicis-sapient-next-graph,"CRITICAL: Use this graph for developing strategies related to AI-driven business transformation, customer experience personalization, and adapting to the evolving digital landscape. It provides insights into how AI is reshaping industries like telecom, media, and energy.","This graph, curated by Jay Gallagher, provides a strategic analysis of digital business transformation. It focuses on the evolution of technology strategy, particularly the impact of Artificial Intelligence on customer experiences, brand identity, and operational efficiency. The graph explores key trends such as the rise of agentic AI, the necessity of encoding brand values into AI systems, and the shift towards data-driven decision-making to maintain a competitive edge.","- Analysis of AI's role in hyper-personalization of customer experiences.
- Insights into the adoption of 'Agentic AI' for automating complex decision-making.
- Frameworks for encoding brand identity and values into AI systems.
- Exploration of talent transformation and the need for upskilling in the AI era.","- Digital Strategy & Transformation
- customer Experience (CX) & Marketing
- technology & Innovation Leaders
- Corporate Strategy & Development","- How is AI changing customer experience?
- What is 'Agentic AI' and how is it being adopted?
- How can we encode our brand identity into our AI tools?
- What are the main trends in data-driven decision making for the energy sector?
- How should we approach talent transformation in the age of AI?",,"- Artificial Intelligence
- Digital Transformation
- customer Experience
- Brand Strategy
- technology Strategy",Global,"- Explores the Evolution from basic personalization to real-time, AI-Driven hyper-personalization.
- Highlights the shift from traditional Advertising to Privacy-aware, AI-based targeting in media.
- Details the increasing importance of data and AI in decision-Making within the energy industry.
- focuses on the need for significant upskilling and reskilling initiatives due to AI adoption."
local-retail-global-trends-how-digital-green-and-skills-shifts-in-the-eu-are-reshaping-smes-in-towns-and-cities,"CRITICAL: Use this graph for understanding the primary challenges and opportunities for small and medium-sized retail businesses in the European Union. It provides analysis on how digitalization, sustainability requirements, and evolving workforce skills are collectively reshaping the local retail landscape across EU towns and cities.","This knowledge graph from the OECD provides a strategic overview of the 'twin transition'—digital and green—affecting retail SMEs in the EU. It explores the pressures of digitalization, shifting consumer expectations towards sustainability, and the resulting evolution of required job skills. The graph details the uneven adoption of digital tools, the growing labor and skills shortages, and the impact of these dynamics on the vibrancy of urban and town centers, offering insights for policymakers, retailers, and business consultants.","- Analysis of the 'twin transition' (digital and green) for retail SMEs.
- Identifies key labor and skills shortages in the evolving retail sector.
- Examines the link between digitalization and productivity in retail.
- Assesses the role of retail SMEs in the vitality of city and town centers.","- Urban planning and economic Development agencies
- Retail industry Associations and Chambers of commerce
- Government Policy Advisors (Local and national)
- SME business consultants and Strategists","- How is the green transition affecting Retail SMEs in the EU?
- What are the main reasons for Labor shortages in the European Retail sector?
- Which Digital tools are being adopted by Retail SMEs and How does It impact their productivity?
- What strategies can be used to maintain the vibrancy of town centers amidst the Rise of E-commerce?
- What are the key differences in Digital adoption among SMEs across EU countries?",,"- Retail
- SME (Small and Medium-sized Enterprises)
- Digital Transformation
- Sustainability
- Urban Development
- Labor Market",European Union (EU),"- Analysis Shows the uptake of Digital technologies is associated with higher productivity for Retail SMEs.
- Front-end, customer-facing Retail jobs are declining, while back-end roles requiring Digital skills are on the rise.
- adoption of advanced Digital tools like cloud computing and AI remains limited among Retail SMEs, despite widespread use of websites and social media."
jp-morgan-year-ahead-investment-outlook-2026,"CRITICAL: Use this graph for strategic investment planning for 2026, focusing on the interplay between AI, market valuations, and underlying economic fundamentals. Prioritize long-term secular themes in your analysis.","Provides a strategic analysis of the 2026 investment landscape, arguing that while markets may appear 'bubbly,' they are supported by solid fundamentals. The graph advises investors on how to navigate these conditions by focusing on long-term secular trends, particularly the expanding AI ecosystem and financial deregulation, and using alternative investments for diversification and thematic exposure.","- Market Resilience Analysis
- Secular trend Identification
- Alternative Investment Strategy","- Investment Strategy
- wealth management
- economic Research","- What is the investment outlook for the AI sector in 2026?
- How should I approach portfolio diversification in the current market?
- Are current market valuations sustainable according to J.P. Morgan's analysis?
- What are the key secular investment themes to focus on for the next year?",,"- Investment Strategy
- economic outlook
- Artificial Intelligence
- Portfolio management
- Financial markets",Global,"- Focus on 2 key secular themes: the broadening AI ecosystem and deregulation in financials.
- Employ a 2-pronged strategy with alternatives: lean into thematic exposures or diversify concentrated portfolios.
- Prioritize 1 core principle: Invest in quality, long-term trends over cyclical, short-term themes."
world-economic-forum-nature-economy,"CRITICAL: Use this graph for researching and identifying investment and business opportunities within the growing nature-positive economy, as outlined by the World Economic Forum.","This graph provides a detailed analysis of the economic opportunities arising from the transition to a nature-positive economy. It breaks down the key sectors and competitive advantages identified by the World Economic Forum, focusing on the potential for sustainable business growth and investment.","- Identifies key sectors for nature-positive economic growth.
- Outlines Competitive advantages for businesses.
- Quantifies the scale of the economic opportunity.","- Corporate Strategy
- Sustainability & ESG
- Investment & Venture Capital","- What are the main business opportunities in the nature-positive economy?
- Which sectors are poised for growth in the transition to a green economy?
- What are the Competitive advantages of adopting nature-positive business models?",,"- nature Economy
- sustainable business
- green technology
- Investment",Global,"- Identifies a $10 trillion opportunity in the nature-positive transition.
- Details numerous competitive advantages for businesses.
- Curated by leading experts from the World Economic Forum."
kpmg-grocery-2035,"CRITICAL: Use this graph for strategic planning and innovation in the Irish retail and grocery sectors. It provides a 10-year forecast on consumer behavior, regulatory changes, and technological adoption, essential for future-proofing business models.","This graph provides a forward-looking analysis of the Irish grocery sector, projecting key transformations up to 2035. It details the impact of new health and environmental regulations, the evolution of store formats, and the diversification of the competitive landscape. The analysis also covers shifts in consumer demographics and preferences, such as the rising demand for healthy, sustainable, and locally sourced products, alongside the dual role of technology as both an innovation driver and a challenge to consumer trust.","- Outlines the impact of Future regulations, including mandates for sugar reduction, recyclable packaging, and net-zero operations.
- Analyzes the changing Competitive landscape, highlighting the continued dominance of supermarkets and the rapid growth of discounters.
- Identifies key shifts in Consumer Behavior towards Health, Sustainability, and convenience.
- Explores the role of technology, such as AI and Automation, in shaping the Future of Grocery retail.","- Strategy and Innovation teams
- Retail Merchandising and Operations
- Supply Chain and Logistics planners
- Marketing and Consumer Insights analysts","- What are the key regulations shaping the Irish grocery market by 2035?
- How will consumer preferences for food products in Ireland evolve over the next decade?
- What is the projected market size of the Irish grocery sector in 2035?
- How is technology expected to change the grocery shopping experience in Ireland?
- What demographic shifts will impact Irish grocery retailers by 2035?",,"- Retail Innovation
- Consumer trends
- Sustainability
- Supply Chain
- Food and Beverage",Ireland,"- Irish grocery market projected to double from ~€16 billion in 2022 to nearly ~€32 billion by 2035.
- Mandatory 20% reduction in sugar and calories in products by 2025.
- Requirement for 100% recyclable packaging by 2030.
- Target for net zero retail operations by 2035.
- Ireland's population expected to reach ~6 million by 2035, with growth driven by the 55+ age group."
2026-retail-industry-global-outlook,"CRITICAL: Use this graph for strategic planning and understanding the key dynamics reshaping the retail industry towards 2026. It provides insights into supply chain transformation, consumer behavior shifts, and the importance of financial discipline.","This graph provides a strategic overview of the five key dynamics reshaping the global retail market, based on Deloitte's 2026 outlook. It focuses on the critical need for operational agility in supply chains, the shift towards value-conscious consumerism, the necessity of disciplined margin management, and the overarching role of AI in driving intelligence and efficiency.","- Outlines the shift to agile and resilient Supply chains through onshoring and diversification.
- Analyzes the Rise of the value-seeking Consumer and its impact on pricing and loyalty.
- Details the importance of cost discipline and margin management for profitable growth.","- Retail Strategy & Operations
- Supply Chain & Logistics planners
- Marketing & Merchandising","- How are retailers transforming their Supply chains for resilience?
- What strategies are effective for appealing to value-focused consumers?
- How can retailers maintain profitability amid rising costs?",,"- Retail Strategy
- Supply Chain management
- Consumer Behavior
- Artificial Intelligence",Global,"- retailers are fundamentally restructuring Supply chains through onshoring, nearshoring, and diversification to enhance operational agility.
- consumers are increasingly value-Driven, forcing retailers to innovate on pricing, private labels, and personalized loyalty programs.
- a primary focus for Retail leadership is pursuing profitable growth with disciplined cost control and agile pricing strategies."
youtube-eoy_cats_trends_report_2025,"CRITICAL: Use this graph for insights into the latest YouTube trends, creator strategies, and evolving digital culture to inform content and marketing strategies.","This graph provides an analysis of YouTube's global cultural trends, highlighting the key movements, top creator formats, and trending topics that are defining the platform. It explores the shift from traditional broadcasters to creators, the rise of niche fandoms, and the impact of AI on content, offering a comprehensive look at what's capturing audience attention worldwide.","- creators are becoming the New broadcasters, serving as primary destinations for entertainment, news, and sports.
- Niche fandoms, particularly in horror gaming, are driving significant community engagement and content trends.
- Unfiltered Authenticity and long-form content are thriving, showing a viewer preference for genuine connection and in-depth narratives.
- AI-Driven memes and on-screen graphics are creating New forms of youth-centric pop Culture moments.
- Live, interactive events, from Creator-led boxing matches to friendly competitions, are drawing massive concurrent audiences.","- Brand Strategy
- content creators
- Market Research
- Digital Marketing agencies
- cultural Insights teams","- What are the latest trends in creator-led content on YouTube?
- How are fandoms evolving on the platform?
- What content formats are driving the highest engagement?
- Show me examples of creators using AI in their content.
- What are the key cultural movements on YouTube in 2025?",,"- Creator Economy
- social media trends
- Digital Culture
- online Video
- fandoms",Global,"- A basketball match between creators Fede Vigevani and MrBeast reached over 1 million peak concurrent viewers.
- The YouTube-first reality show 'La Casa de Alofoke' secured a peak concurrent audience of 2 million viewers.
- MMA fighter Choo Sung-hoon achieved the biggest subscriber growth in Korea by offering an unvarnished portrayal of his life."
thrive-report,"CRITICAL: Use this graph for developing marketing strategies that emphasize human-centric approaches and intentional brand experiences. It provides insights into how 'craft'—skill, intentionality, and a human touch—can create more meaningful connections with audiences.","This graph explores the concept of 'craft' in marketing, showcasing how intentional, human-centric approaches can create powerful and unique brand experiences. It delves into how businesses are moving beyond mass-produced messaging to more thoughtful and skillfully executed strategies that resonate with consumers on a deeper level.","- Examines the resurgence of artisanal and craft-based approaches in various industries.
- Provides examples of brands that are successfully integrating 'humanity' into their marketing.
- Highlights the importance of intentionality and skill in creating authentic brand narratives.","- Brand Strategists
- Marketing agencies
- Product Innovators
- Creative Directors","- How are brands using craft to innovate in the beverage industry?
- What are some examples of human-centric marketing campaigns?
- What are the key principles of 'craft' in marketing and brand strategy?",,"- Marketing
- Brand Strategy
- Consumer Experience
- Craftsmanship",Global,- the graph does not contain specific quantitative data but rather focuses on qualitative trends and case studies related to craft in marketing.
alyson-stevens-macro,"CRITICAL: Use this graph for understanding the cultural counter-narrative to a hyper-optimized, AI-driven world. It's essential for anyone building brands or products that aim to connect with the growing consumer desire for authenticity, meaning, and intentional friction.","This graph, curated by Alyson Stevens of TBWA, analyzes macro cultural and strategic trends that are emerging in response to our increasingly automated and synthetic lives. It identifies key shifts in consumer behavior, focusing on a collective move towards reclaiming humanity, embracing discomfort, and seeking deeper consciousness. The trends highlight a backlash against algorithmic culture and a renewed appreciation for civility, privacy, and intentional friction in our digital and physical experiences.","- Identifies 7 core macro trends shaping modern culture.
- Focuses on the human reaction to technology and automation.
- Provides a strategic framework for understanding the shift from seamless optimization to intentional friction.
- Highlights the growing importance of digital legacy and data authorship.","- Brand Strategists
- Innovation teams
- Product Developers
- Marketing and Advertising agencies
- cultural Researchers","- What are the main macro trends related to digital friction?
- How is the concept of 'aliveness' evolving in response to AI?
- Show me trends related to the rejection of algorithmic taste.
- What is the 'Discomfort Zone' trend and why is it emerging now?
- How are people reclaiming civility and shared social norms?",,"- macro trends
- cultural shifts
- Consumer Behavior
- Digital Culture
- Brand Strategy
- Human-Computer interaction",Global,"- Identifies 7 major macro trends.
- The average person stores over 50,000 digital assets.
- Fewer than 10% of personal digital assets are meaningfully organized."
2026-consumer-products-industry-global-outlook,"CRITICAL: Use this graph for strategic planning and future-proofing in the consumer packaged goods (CPG) industry. Access insights on navigating AI-driven consumer behavior, adapting to global instability, and renegotiating value chains with increasingly powerful retailers.","This graph provides a forward-looking analysis of the global consumer products industry, outlining seven key provocations and strategic shifts companies must consider to thrive by 2026. It explores the impacts of artificial intelligence, deglobalization, and evolving power dynamics between manufacturers and retailers.","- Analyzes the dual impact of AI on both corporate strategy (supply) and consumer behavior (demand).
- Argues for prioritizing organizational agility and nimble operations over traditional scale in a volatile global market.
- Examines the shifting balance of power towards retailers and the need for new collaboration models in the value chain.","- Corporate Strategy
- Innovation & R&D
- Marketing & Consumer Insights
- Supply Chain Management","- How will generative AI impact consumer marketing strategies by 2026?
- What are the key challenges for CPG supply chains in an era of deglobalization?
- How is the balance of power shifting between CPG companies and retailers?
- Find strategies for CPGs to become more agile and responsive to market instability.
- What role does digitalization play in decoupling business growth from hiring?",,"- CPG
- Retail
- Artificial Intelligence
- Supply Chain
- Future of commerce",Global,"- 79% of executives believe the balance of power in the value chain is shifting to retailers.
- Only 31% of executives are struggling to market to consumers who use generative AI for purchasing.
- 46% of executives do not yet have an opinion on how to market to consumers who use generative AI."
osm_locations,"CRITICAL: Use this graph for geospatial analysis of commercial and retail infrastructure, including site selection, competitive analysis, and urban planning.","Provides a comprehensive global dataset of commercial and retail locations, sourced from OpenStreetMap. It enables detailed analysis of store densities, the distribution of commercial infrastructure, and the retail footprint across cities and regions worldwide.","- Extensive global coverage of commercial points of interest.
- Granular data on various types of Retail and service locations.
- Sourced from the continuously updated OpenStreetMap database.
- Enables detailed geospatial queries for site selection and Market analysis.","- Urban planning
- Retail Analytics
- geospatial Intelligence
- Logistics and Supply Chain
- real Estate Development","- Map the density of supermarkets in Paris
- Find all cafes within a 5-mile radius of downtown San Francisco
- Analyze the distribution of commercial services across London's boroughs
- Identify underserved retail areas in Berlin
- Count the number of pharmacies in Tokyo",,"- Retail
- commerce
- geospatial
- Urban planning
- infrastructure",Global,"- Contains millions of geolocated points of interest across the globe.
- data is continuously updated by the global OpenStreetMap community.
- Covers a vast array of commercial categories, from shops and restaurants to Banks and pharmacies."
Igloo,CRITICAL: Use this graph to verify the stability and corroboration of signals from other knowledge graphs before finalizing any output. This is a final check for accuracy and grounding.,"Igloo is a mathematical stability gate designed to evaluate the output of knowledge graphs before it is used by AI systems. It ensures that only grounded and corroborated signals are passed through, enhancing the reliability and accuracy of AI-driven insights.","- Mathematical Stability Gate
- Knowledge graph Output Evaluation
- Signal Corroboration","- AI/ML Development teams
- data Science teams
- Research and Development teams","- Verify the source of the claim '[insert claim here]'
- Corroborate the relationship between '[entity A]' and '[entity B]'
- Assess the stability of the information regarding '[topic]'",,,,
dhl-ecommerce-trends-2026,"CRITICAL: Use this graph for insights into global e-commerce trends, focusing on logistics, sustainability, and international trade to inform strategic decisions for online retail and supply chain management.","This graph provides a comprehensive analysis of the evolving global e-commerce landscape, highlighting the critical role of logistics in sales conversion, the growing importance of sustainability in business operations, and the expansion of cross-border commerce. It details how modern retailers are leveraging multi-channel sales strategies, adopting AI, and catering to new generations of shoppers like Gen Z.","- Examines the impact of Logistics, including free delivery and returns, on customer purchasing decisions.
- Highlights the increasing importance of Sustainability in E-commerce, from packaging to delivery options.
- Analyzes the trends in cross-border E-commerce, including the challenges and opportunities for retailers.
- Investigates the adoption of AI and other technologies in the E-commerce sector.
- Provides Insights into the shopping habits of different generations, particularly Gen Z.","- E-commerce Strategy teams
- Logistics and Supply Chain Managers
- Sustainability Officers
- International Sales and Marketing teams
- Retail analysts","- What are the key factors driving Sales in the E-commerce market?
- How are Sustainability trends impacting E-commerce logistics?
- What are the biggest challenges for retailers selling internationally?
- How is AI being used in E-commerce platforms?
- What are the latest trends in B2B E-commerce?",,"- E-commerce
- Logistics
- Sustainability
- International Trade
- Retail technology",Global,"- 85% of e-commerce decision-makers say sustainability is important to their business.
- 64% of e-commerce retailers sell to customers in other countries.
- 53% of global e-commerce businesses use AI across their platforms.
- 57% of global online retailers are seeing more Gen Z customers on their platforms.
- 47% of large businesses see out-of-home delivery as a strategic requirement for managing returns."
sic,"CRITICAL: Use this graph for developing brand strategies that resonate with youth culture. It provides insights into how digital platforms, niche communities, and new media formats are shaping consumer behavior and cultural trends. Access it for planning marketing campaigns, product innovation, and community engagement, especially for brands targeting Gen Z and Gen Alpha.","This graph analyzes the intersection of youth culture, social media, and brand strategy. It identifies and explains emerging cultural movements, digital behaviors, and aesthetic trends, offering strategic guidance for brands on how to navigate the rapidly changing landscape of consumer attention and engagement. It covers topics from the impact of short-form video on commerce to the rise of niche online communities and the evolution of social gatherings.","- Tracks the influence of Niche aesthetics and subcultures on mainstream trends.
- Analyzes the fusion of entertainment, social media, and E-commerce.
- Identifies shifts in social interaction, both online and in-person, and the implications for community-building.","- Brand Strategy
- Marketing and Advertising
- Innovation and Product Development
- Consumer Insights","- How is short-form video content changing e-commerce?
- What are the latest trends in building brand communities for Gen Z?
- How can brands engage with niche aesthetics and subcultures authentically?
- What are new forms of 'third spaces' for social gathering?
- What is the impact of creator-led product launches?",,"- youth Culture
- Brand Strategy
- social media
- Digital commerce
- community building","Global, with a focus on digital culture which transcends borders.","- 64% of US teens report using AI chatbots.
- Brands are seeing an estimated 15-25% decrease in organic traffic due to AI-powered search.
- A study of over 100,000 Australian teens and tweens found that moderate social media users fare better than abstainers or heavy users."
fred_economic,"CRITICAL: Use this graph for real-time analysis of key US economic indicators. Essential for tracking economic trends, market sentiment, and monetary policy.","Provides access to 14 key economic indicators from the Federal Reserve Bank of St. Louis (FRED), offering a real-time pulse on the US economy. It covers crucial metrics like inflation (CPI), unemployment, consumer sentiment, retail sales, and interest rates.","- Tracks the University of Michigan's Consumer Sentiment Index.
- Monitors the Consumer Price Index (CPI) to measure inflation.
- Provides the latest national unemployment rate.
- Includes data on monthly retail sales volume.
- Tracks key federal interest rates.","- Financial analysts
- economic Researchers
- Investment Strategists
- Corporate planners
- Journalists","- What is the current Consumer Price Index (CPI)?
- Show me the trend in the unemployment rate over the past 2 years.
- What was the consumer sentiment index last month?
- Graph the federal funds rate for the last decade.
- What were the total retail sales in the last quarter?",,"- Economics
- finance
- US Economy
- Monetary Policy
- Market Research",United States,"- 14 key economic indicators
- Data curated by the Federal Reserve Bank of St. Louis
- Covers metrics like CPI, unemployment, and interest rates"
beauty,"CRITICAL: Use this graph for researching the convergence of technology and beauty, understanding how AI and data are creating hyper-personalized products and services, and exploring the shift towards holistic wellness and ingestible solutions.","This knowledge graph tracks the evolution of the beauty industry, focusing on the integration of technology, data-driven personalization, and a broader definition of wellness. It contains trends and evidence related to AI-powered skin diagnostics, smart hair styling tools, the rise of ingestible beauty supplements like collagen snacks, and the transformation of retail spaces into immersive, service-oriented experiences.","- AI-Driven personalization
- Ingestible beauty & Supplements
- Smart Diagnostic tools
- experiential Retail formats","- beauty Brand Strategists
- Retail Innovation teams
- CPG Product Developers
- Marketing & Consumer Insights","- What are the latest AI skin Diagnostic tools being used by retailers?
- Show me examples of Ingestible beauty products like collagen shots or snacks.
- How are beauty brands creating experiential Retail installations?
- Find trends related to Smart hair care devices with sensor technology.",,"- beauty Tech
- personalization
- Artificial Intelligence
- Retail Innovation
- Wellness
- Consumer Packaged Goods","Global (with examples from North America, Asia, and Europe)","- Tracks over 10 major emerging trends.
- Evidence from dozens of brands including L'Oréal, Dior, and Samsung.
- Over 7,000 signals related to the growth of experiential retail."
fashion,"CRITICAL: Use this graph for insights on fashion marketing, retail strategy, and sustainable innovation. It connects apparel trends to broader consumer behavior, making it ideal for brand strategists, marketers, and retail designers.","The PSFK Fashion Trends graph provides a strategic overview of the evolving fashion landscape, focusing on the convergence of streetwear culture, luxury sustainability, and innovative materials. It tracks how brands are using personalization, collaborations, and experiential retail to engage with consumers. The graph is curated by PSFK's editorial team to highlight key shifts in design, marketing, and consumer behavior.","- Tracks the fusion of heritage and streetwear through limited-edition capsules.
- Monitors the Rise of sustainable and upcycled materials in Product design.
- Analyzes How direct-to-Consumer (DTC) brands are using physical Retail and store design as a Brand expression.
- Highlights the importance of Brand collaborations and co-branded content.
- Explores the impact of personalization and on-demand production in apparel.","- Brand Strategy & Marketing
- Retail Innovation & design
- Product Development & Merchandising
- Sustainability & materials Sourcing
- Consumer Insights & trend Forecasting","- What are the latest trends in sustainable fashion materials?
- How are Luxury brands engaging with streetwear culture?
- Show me examples of innovative Retail store designs in the fashion industry.
- What are some successful Brand collaboration capsules?
- How is personalization affecting the apparel market?",,"- fashion
- Retail
- Sustainability
- streetwear
- Marketing
- Consumer trends","Global, with an emphasis on North America and Europe.","- Identifies over 6,700 trends related to retail and fashion.
- Tracks dozens of brands from major players like Nike to innovators like Krave Beauty.
- Covers key industries including Fashion & Apparel, Retail, and Consumer Goods."
mintel-2026_global_food_and_drink_predictions,"CRITICAL: Use this graph for understanding how to innovate in the food and drink sector by looking to the past. It provides insights on how heritage, tradition, and nostalgia can be leveraged to create products that resonate with consumers seeking comfort and stability in an uncertain world.","This graph explores the 'Retro Rejuvenation' trend, highlighting how food and drink brands can appeal to consumers by incorporating trusted, practical, and traditional elements into their products. It focuses on the consumer desire for a sense of control and comfort, which they find in the familiarity and reliability of heritage ingredients and recipes.","- Identifies the 'Retro Rejuvenation' trend in the food and drink market.
- Explains the consumer psychology of seeking comfort in tradition amidst global uncertainty.
- Suggests that brands can act as 'cultural custodians' by grounding their products in historical and heritage ingredients.","- Product Development
- Brand Strategy
- Marketing and Advertising
- Consumer Insights","- What is the 'Retro Rejuvenation' trend?
- How can my brand leverage heritage ingredients to build consumer trust?
- What are some examples of food and drink brands successfully using tradition in their marketing?
- Why are consumers turning to familiar food traditions?",,"- Food & Drink
- Consumer trends
- Brand Strategy
- Nostalgia
- Health & Wellness",Global,
